id,R-ids,datasets,input_reaction,expected_reaction,wrong_reactions,llm_predicted,is_balanced,exact_match,final_status,error
230,['golden_dataset_823'],['golden_dataset'],[CH:40]=1[C:38](=[CH:37][CH:36]=[C:35]([CH:41]=1)[O:34][CH3:33])[I:39].[CH3:1][C:2]([CH3:3])([CH3:4])[N+:5]#[C-:6].[CH3:7][C:8]([CH3:9])([CH3:10])[N+:11]#[C-:12].[OH2:42].[O:18]=[S:17](=[O:19])([C:20]=1[CH:26]=[CH:25][C:23]([CH3:24])=[CH:22][CH:21]=1)[NH:16][N:15]=[C:14]([C:27]=2[CH:28]=[CH:29][CH:30]=[CH:31][CH:32]=2)[CH3:13]>>[CH3:7][C:8]([CH3:9])([CH3:10])[NH:11][C:12]=1[C:14](=[CH:13][N:5]([C:6]=1[C:38]=2[CH:37]=[CH:36][C:35](=[CH:41][CH:40]=2)[O:34][CH3:33])[C:2]([CH3:1])([CH3:3])[CH3:4])[C:27]=3[CH:28]=[CH:29][CH:30]=[CH:31][CH:32]=3,nan,['CC(=NNS(=O)(=O)c1ccc(C)cc1)c1ccccc1.[C-]#[N+]C(C)(C)C.[C-]#[N+]C(C)(C)C.COc1ccc(I)cc1.O>>COc1ccc(-c2c(NC(C)(C)C)c(-c3ccccc3)cn2C(C)(C)C)cc1'],[CH:40]=1[C:38](=[CH:37][CH:36]=[C:35]([CH:41]=1)[O:34][CH3:33])[I:39].[CH3:1][C:2]([CH3:3])([CH3:4])[N+:5]#[C-:6].[CH3:7][C:8]([CH3:9])([CH3:10])[N+:11]#[C-:12].[O:18]=[S:17](=[O:19])([C:20]=1[CH:26]=[CH:25][C:23]([CH3:24])=[CH:22][CH:21]=1)[NH:16][N:15]=[C:14]([C:27]=2[CH:28]=[CH:29][CH:30]=[CH:31][CH:32]=2)[CH3:13]>>[CH3:7][C:8]([CH3:9])([CH3:10])[NH:11][C:12]=1[C:14](=[CH:13][N:5]([C:6]=1[C:38]=2[CH:37]=[CH:36][C:35](=[CH:41][CH:40]=2)[O:34][CH3:33])[C:2]([CH3:1])([CH3:3])[CH3:4])[C:27]=3[CH:28]=[CH:29][CH:30]=[CH:31][CH:32]=3.O=S(=O)(Nc1ccccc1C)c1ccccc1C.I,False,False,unbalanced,
231,['golden_dataset_828'],['golden_dataset'],[CH:12]1=[CH:11][CH:10]=[C:7]([C:6]([C:4](=[O:5])[O:3][CH2:2][CH3:1])=[CH:13]1)[CH2:8][Br:9].[CH3:28][N:27]([CH3:29])[C:24]=1[CH:25]=[CH:26][C:21]([C:19](=[S:20])[C-:18]([C:16](=[O:17])[O:15][CH3:14])[C:30]2=[CH:37][CH:36]=[C:33]([O:34][CH3:35])[CH:32]=[CH:31]2)=[CH:22][CH:23]=1>>[CH3:28][N:27]([CH3:29])[C:24]=1[CH:23]=[CH:22][C:21]([C:19]2=[C:18]([C:16](=[C:8]([C:7]=3[C:6](=[CH:13][CH:12]=[CH:11][CH:10]=3)[C:4]([O:3][CH2:2][CH3:1])=[O:5])[S:20]2)[OH:17])[C:30]4=[CH:31][CH:32]=[C:33]([O:34][CH3:35])[CH:36]=[CH:37]4)=[CH:26][CH:25]=1,C1=CC=C(C(C(=O)OCC)=C1)CBr.CN(C)C=1C=CC(C(=S)[C-](C(=O)OC)C2=CC=C(OC)C=C2)=CC=1.[H+]>>CN(C)C=1C=CC(C2=C(C(=C(C=3C(=CC=CC=3)C(OCC)=O)S2)O)C4=CC=C(OC)C=C4)=CC=1.Br.CO,[],[CH:12]1=[CH:11][CH:10]=[C:7]([C:6]([C:4](=[O:5])[O:3][CH2:2][CH3:1])=[CH:13]1)[CH2:8][Br:9].[CH3:28][N:27]([CH3:29])[C:24]=1[CH:25]=[CH:26][C:21]([C:19](=[S:20])[C-:18]([C:16](=[O:17])[O:15][CH3:14])[C:30]2=[CH:37][CH:36]=[C:33]([O:34][CH3:35])[CH:32]=[CH:31]2)=[CH:22][CH:23]=1>>[CH3:28][N:27]([CH3:29])[C:24]=1[CH:23]=[CH:22][C:21]([C:19]2=[C:18]([C:16](=[C:8]([C:7]=3[C:6](=[CH:13][CH:12]=[CH:11][CH:10]=3)[C:4]([O:3][CH2:2][CH3:1])=[O:5])[S:20]2)[OH:17])[C:30]4=[CH:31][CH:32]=[C:33]([O:34][CH3:35])[CH:36]=[CH:37]4)=[CH:26][CH:25]1.[CH3:14][OH:15].[Br-:9],True,False,balanced,
234,['golden_dataset_845'],['golden_dataset'],[CH2:15]=[CH:14][CH2:13][CH2:12][C:11]1=[CH:16][CH:7]([O:8][C:9]1=[O:10])[C:6]=2[C:17](=[CH:20][CH:21]=[C:3]([O:2][CH3:1])[C:4]=2[Br:5])[O:18][CH3:19].[CH2:36]=[CH:35][CH2:34][CH2:33][C:32]1=[CH:37][CH:28]([O:29][C:30]1=[O:31])[C:27]=2[C:38](=[CH:41][CH:42]=[C:24]([O:23][CH3:22])[C:25]=2[Br:26])[O:39][CH3:40]>>[CH3:1][O:2][C:3]=1[CH:21]=[CH:20][C:17]([O:18][CH3:19])=[C:6]([C:4]=1[Br:5])[CH:7]2[CH:16]=[C:11]([CH2:12][CH2:13][CH:14]=[CH:35][CH2:34][CH2:33][C:32]3=[CH:37][CH:28]([C:27]4=[C:25]([C:24]([O:23][CH3:22])=[CH:42][CH:41]=[C:38]4[O:39][CH3:40])[Br:26])[O:29][C:30]3=[O:31])[C:9]([O:8]2)=[O:10],C=CCCC1=CC(OC1=O)C=2C(=CC=C(OC)C=2Br)OC.C=CCCC1=CC(OC1=O)C=2C(=CC=C(OC)C=2Br)OC.[O]>>COC=1C=CC(OC)=C(C=1Br)C2C=C(CCC=CCCC3=CC(C4=C(C(OC)=CC=C4OC)Br)OC3=O)C(O2)=O.CC=O,[],[CH2:15]=[CH:14][CH2:13][CH2:12][C:11]1=[CH:16][CH:7]([O:8][C:9]1=[O:10])[C:6]=2[C:17](=[CH:20][CH:21]=[C:3]([O:2][CH3:1])[C:4]=2[Br:5])[O:18][CH3:19].[CH2:36]=[CH:35][CH2:34][CH2:33][C:32]1=[CH:37][CH:28]([O:29][C:30]1=[O:31])[C:27]=2[C:38](=[CH:41][CH:42]=[C:24]([O:23][CH3:22])[C:25]=2[Br:26])[O:39][CH3:40]>>[CH3:1][O:2][C:3]=1[CH:21]=[CH:20][C:17]([O:18][CH3:19])=[C:6]([C:4]=1[Br:5])[CH:7]2[CH:16]=[C:11]([CH2:12][CH2:13][CH:14]=[CH2:15])[C:9]([O:8]2)=[O:10].[CH2:36]=[CH:35][CH2:34][CH2:33][C:32]1=[CH:37][CH:28]([C:27]2=[C:25]([C:24]([O:23][CH3:22])=[CH:42][CH:41]=[C:38]2[O:39][CH3:40])[Br:26])[O:29][C:30]1=[O:31],True,False,balanced,
235,['golden_dataset_849'],['golden_dataset'],[CH3:1][CH:2]([CH3:3])[CH2:4][C:5](=[O:6])[C:7]1=[C:8]([OH:9])[CH:10]=[C:11]([OH:12])[CH:13]=[C:14]1[OH:15].[CH3:21][CH:20]([CH3:22])[CH2:19][CH:18]([O:17][CH3:16])[O:23][CH3:24].[CH3:25][C:26]1([CH3:27])[C:28](=[O:29])[CH:30]=[C:31]([OH:32])[C:33]([CH3:34])([CH3:35])[C:36]1=[O:37]>>[CH3:34][C:33]1([CH3:35])[C:36]([C:26]([CH3:25])([CH3:27])[C:28]=2[O:15][C:14]=3[C:13]([CH:18]([C:30]=2[C:31]1=[O:32])[CH2:19][CH:20]([CH3:21])[CH3:22])=[C:11]([OH:12])[CH:10]=[C:8]([C:7]=3[C:5](=[O:6])[CH2:4][CH:2]([CH3:1])[CH3:3])[OH:9])=[O:37],nan,['CC1(C)C(=O)C=C(O)C(C)(C)C1=O.CC(C)CC(=O)c1c(O)cc(O)cc1O.COC(CC(C)C)OC>>CC(C)CC(=O)c1c(O)cc(O)c2c1OC1=C(C(=O)C(C)(C)C(=O)C1(C)C)C2CC(C)C'],[CH3:1][CH:2]([CH3:3])[CH2:4][C:5](=[O:6])[C:7]1=[C:8]([OH:9])[CH:10]=[C:11]([OH:12])[CH:13]=[C:14]1[OH:15].[CH3:21][CH:20]([CH3:22])[CH2:19][CH:18]([O:17][CH3:16])[O:23][CH3:24].[CH3:25][C:26]1([CH3:27])[C:28](=[O:29])[CH:30]=[C:31]([OH:32])[C:33]([CH3:34])([CH3:35])[C:36]1=[O:37]>>[CH3:34][C:33]1([CH3:35])[C:36]([C:26]([CH3:25])([CH3:27])[C:28]=2[O:15][C:14]=3[C:13]([CH:18]([C:30]=2[C:31]1=[O:32])[CH2:19][CH:20]([CH3:21])[CH3:22])=[C:11]([OH:12])[CH:10]=[C:8]([C:7]=3[C:5](=[O:6])[CH2:4][CH:2]([CH3:1])[CH3:3])[OH:9])=[O:37].CO.CO,False,False,unbalanced,
237,['golden_dataset_852'],['golden_dataset'],[Br:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]=2[CH:7]=[CH:8][CH:9]=[CH:10][C:11]1=2.[CH:12]=1[CH:17]=[CH:16][C:15](=[CH:14][CH:13]=1)[C:18]#[C:19][C:20]2=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]2>>[C:3]12=[C:2]([CH2:18][C:15]3=[CH:14][CH:13]=[CH:12][CH:17]=[C:16]13)[C:11]=4[CH:10]=[CH:9][CH:8]=[CH:7][C:6]=4[CH:5]=[CH:4]2,nan,['C(#Cc1ccccc1)c1ccccc1.Brc1cccc2ccccc12>>BrCc1ccccc1.c1ccc2c(c1)Cc1c-2ccc2ccccc12'],[Br:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]=2[CH:7]=[CH:8][CH:9]=[CH:10][C:11]1=2.[CH:12]=1[CH:17]=[CH:16][C:15](=[CH:14][CH:13]=1)[C:18]#[C:19][C:20]2=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]2>>[C:3]12=[C:2]([CH2:18][C:15]3=[CH:14][CH:13]=[CH:12][CH:17]=[C:16]13)[C:11]=4[CH:10]=[CH:9][CH:8]=[CH:7][C:6]=4[CH:5]=[CH:4]2.Br,False,False,unbalanced,
240,['golden_dataset_864'],['golden_dataset'],[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH:12]1[CH2:13][CH:14]=[CH:15][CH:16]1[CH2:17][N:18]([CH2:19][CH:20]=[CH2:21])[S:22](=[O:24])(=[O:23])[C:25]=2[CH:30]=[CH:29][C:28]([N+:31](=[O:33])[O-:32])=[CH:27][CH:26]=2)[CH2:9][CH:10]=[CH2:11]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH:12]([CH2:13][CH:14]=[CH:10][CH2:9]1)[CH:16]2[CH:15]=[CH:20][CH2:19][N:18]([S:22](=[O:24])(=[O:23])[C:25]3=[CH:30][CH:29]=[C:28]([CH:27]=[CH:26]3)[N+:31]([O-:32])=[O:33])[CH2:17]2,[O].CC(C)(C)OC(=O)N(C1CC=CC1CN(CC=C)S(=O)(=O)C=2C=CC([N+](=O)[O-])=CC=2)CC=C>>CC=O.CC(C)(C)OC(=O)N1C(CC=CC1)C2C=CCN(S(=O)(=O)C3=CC=C(C=C3)[N+]([O-])=O)C2,[],[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH:12]1[CH2:13][CH:14]=[CH:15][CH:16]1[CH2:17][N:18]([CH2:19][CH:20]=[CH2:21])[S:22](=[O:24])(=[O:23])[C:25]=2[CH:30]=[CH:29][C:28]([N+:31](=[O:33])[O-:32])=[CH:27][CH:26]=2)[CH2:9][CH:10]=[CH2:11]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH:12]([CH2:13][CH:14]=[CH:10][CH2:9]1)[CH:16]2[CH:15]=[CH:20][CH2:19][N:18]([S:22](=[O:24])(=[O:23])[C:25]3=[CH:30][CH:29]=[C:28]([CH:27]=[CH:26]3)[N+:31]([O-:32])=[O:33])[CH2:17]2.C=C,True,False,balanced,
242,['golden_dataset_867'],['golden_dataset'],[CH:15]([CH2:17][C:18]1=[CH:19][C:20](=[CH:23][C:24](=[CH:27]1)[O:25][CH3:26])[O:21][CH3:22])([OH:16])[CH2:14][CH:13]2[O:28][CH:8]([CH2:10][CH2:11][CH2:12]2)[CH3:9].[CH3:1][O:2][CH:3]([O:4][CH3:5])[O:6][CH3:7]>>[CH:3]1([O:16][CH:15]([CH2:14][CH:13]2[O:28][CH:8]([CH2:10][CH2:11][CH2:12]2)[CH3:9])[CH2:17][C:18]=3[C:27]1=[C:24]([CH:23]=[C:20]([O:21][CH3:22])[CH:19]=3)[O:25][CH3:26])[O:6][CH3:7],[CH:15]([CH2:17][C:18]1=[CH:19][C:20](=[CH:23][C:24](=[CH:27]1)[O:25][CH3:26])[O:21][CH3:22])([OH:16])[CH2:14][CH:13]2[O:28][CH:8]([CH2:10][CH2:11][CH2:12]2)[CH3:9].[CH3:1][O:2][CH:3]([O:4][CH3:5])[O:6][CH3:7]>>[CH:3]1([O:16][CH:15]([CH2:14][CH:13]2[O:28][CH:8]([CH2:10][CH2:11][CH2:12]2)[CH3:9])[CH2:17][C:18]=3[C:27]1=[C:24]([CH:23]=[C:20]([O:21][CH3:22])[CH:19]=3)[O:25][CH3:26])[O:6][CH3:7].[OH:4][CH3:5].[OH:6][CH3:7],[],[CH:15]([CH2:17][C:18]1=[CH:19][C:20](=[CH:23][C:24](=[CH:27]1)[O:25][CH3:26])[O:21][CH3:22])([OH:16])[CH2:14][CH:13]2[O:28][CH:8]([CH2:10][CH2:11][CH2:12]2)[CH3:9].[CH3:1][O:2][CH:3]([O:4][CH3:5])[O:6][CH3:7]>>[CH:3]1([O:16][CH:15]([CH2:14][CH:13]2[O:28][CH:8]([CH2:10][CH2:11][CH2:12]2)[CH3:9])[CH2:17][C:18]=3[C:27]1=[C:24]([CH:23]=[C:20]([O:21][CH3:22])[CH:19]=3)[O:25][CH3:26])[O:6][CH3:7].[CH3:1][O:2][CH3:5],False,False,unbalanced,
245,['golden_dataset_872'],['golden_dataset'],[CH3:33][CH:32]([CH3:34])[O:31][C:30]1=[CH:29][C:28]=2[C:26]([Br:27])=[CH:25][C:24]=3[C:23](=[C:43]([OH:44])[CH:42]=[C:39]([O:40][CH3:41])[C:38]=3[C:37]=2[CH:36]=[CH:35]1)[C:19]4=[C:20]([CH:22]=[C:3]([O:2][CH3:1])[C:4]5=[C:18]4[CH:17]=[C:15]([Br:16])[C:14]6=[CH:13][C:8](=[CH:7][CH:6]=[C:5]56)[O:9][CH:10]([CH3:11])[CH3:12])[OH:21]>>[CH3:11][CH:10]([CH3:12])[O:9][C:8]=1[CH:13]=[C:14]2[C:15](=[CH:17][C:18]3=[C:4]([C:3](=[CH:22][C:20]=4[O:21][C:43](=[O:44])[C:23]5([CH2:42][C:39]([C:38]=6[C:37]=7[C:28]([C:26]([Br:27])=[CH:25][C:24]5=6)=[CH:29][C:30](=[CH:35][CH:36]=7)[O:31][CH:32]([CH3:33])[CH3:34])=[O:40])[C:19]3=4)[O:2][CH3:1])[C:5]2=[CH:6][CH:7]=1)[Br:16],[CH3:33][CH:32]([CH3:34])[O:31][C:30]1=[CH:29][C:28]=2[C:26]([Br:27])=[CH:25][C:24]=3[C:23](=[C:43]([OH:44])[CH:42]=[C:39]([O:40][CH3:41])[C:38]=3[C:37]=2[CH:36]=[CH:35]1)[C:19]4=[C:20]([CH:22]=[C:3]([O:2][CH3:1])[C:4]5=[C:18]4[CH:17]=[C:15]([Br:16])[C:14]6=[CH:13][C:8](=[CH:7][CH:6]=[C:5]56)[O:9][CH:10]([CH3:11])[CH3:12])[OH:21]>>[CH3:11][CH:10]([CH3:12])[O:9][C:8]=1[CH:13]=[C:14]2[C:15](=[CH:17][C:18]3=[C:4]([C:3](=[CH:22][C:20]=4[O:21][C:43](=[O:44])[C:23]5([CH2:42][C:39]([C:38]=6[C:37]=7[C:28]([C:26]([Br:27])=[CH:25][C:24]5=6)=[CH:29][C:30](=[CH:35][CH:36]=7)[O:31][CH:32]([CH3:33])[CH3:34])=[O:40])[C:19]3=4)[O:2][CH3:1])[C:5]2=[CH:6][CH:7]=1)[Br:16].I[CH3:41],[],[CH3:33][CH:32]([CH3:34])[O:31][C:30]1=[CH:29][C:28]=2[C:26]([Br:27])=[CH:25][C:24]=3[C:23](=[C:43]([OH:44])[CH:42]=[C:39]([O:40][CH3:41])[C:38]=3[C:37]=2[CH:36]=[CH:35]1)[C:19]4=[C:20]([CH:22]=[C:3]([O:2][CH3:1])[C:4]5=[C:18]4[CH:17]=[C:15]([Br:16])[C:14]6=[CH:13][C:8](=[CH:7][CH:6]=[C:5]56)[O:9][CH:10]([CH3:11])[CH3:12])[OH:21]>>[CH3:11][CH:10]([CH3:12])[O:9][C:8]=1[CH:13]=[C:14]2[C:15](=[CH:17][C:18]3=[C:4]([C:3](=[CH:22][C:20]=4[O:21][C:43](=[O:44])[C:23]5([CH2:42][C:39]([C:38]=6[C:37]=7[C:28]([C:26]([Br:27])=[CH:25][C:24]5=6)=[CH:29][C:30](=[CH:35][CH:36]=7)[O:31][CH:32]([CH3:33])[CH3:34])=[O:40])[C:19]3=4)[O:2][CH3:1])[C:5]2=[CH:6][CH:7]=1)[Br:16].[CH3:41][OH:41],False,False,unbalanced,
257,['golden_dataset_928'],['golden_dataset'],[CH:24]=1[CH:23]=[C:22]([CH:27]=[CH:26][CH:25]=1)[P:21]([C:28]2=[CH:33][CH:32]=[CH:31][CH:30]=[CH:29]2)([C:34]3=[CH:35][CH:36]=[CH:37][CH:38]=[CH:39]3)=[C:18]([C:19]#[N:20])[CH3:17].[N:4]1([C:12]2=[CH:13][CH:14]=[CH:15][CH:16]=[C:11]2[C:9](=[O:10])[CH:5]1[CH2:8][CH:7]=[CH2:6])[C:2]([CH3:1])=[O:3]>>[N:4]1([CH:5]=[C:9]([C:18]([C:19]#[N:20])([CH2:6][CH:7]=[CH2:8])[CH3:17])[C:11]2=[CH:16][CH:15]=[CH:14][CH:13]=[C:12]12)[C:2]([CH3:1])=[O:3],[N:4]1([C:12]2=[CH:13][CH:14]=[CH:15][CH:16]=[C:11]2[C:9](=[O:10])[CH:5]1[CH2:8][CH:7]=[CH2:6])[C:2]([CH3:1])=[O:3].[CH:24]=1[CH:23]=[C:22]([CH:27]=[CH:26][CH:25]=1)[P:21]([C:28]2=[CH:33][CH:32]=[CH:31][CH:30]=[CH:29]2)([C:34]3=[CH:35][CH:36]=[CH:37][CH:38]=[CH:39]3)=[C:18]([C:19]#[N:20])[CH3:17]>>[N:4]1([CH:5]=[C:9]([C:18]([C:19]#[N:20])([CH2:6][CH:7]=[CH2:8])[CH3:17])[C:11]2=[CH:16][CH:15]=[CH:14][CH:13]=[C:12]12)[C:2]([CH3:1])=[O:3].O=P(c1ccccc1)(c1ccccc1)c1ccccc1,[],[CH:24]=1[CH:23]=[C:22]([CH:27]=[CH:26][CH:25]=1)[P:21]([C:28]2=[CH:33][CH:32]=[CH:31][CH:30]=[CH:29]2)([C:34]3=[CH:35][CH:36]=[CH:37][CH:38]=[CH:39]3)=[C:18]([C:19]#[N:20])[CH3:17].[N:4]1([C:12]2=[CH:13][CH:14]=[CH:15][CH:16]=[C:11]2[C:9](=[O:10])[CH:5]1[CH2:8][CH:7]=[CH2:6])[C:2]([CH3:1])=[O:3]>>[N:4]1([CH:5]=[C:9]([C:18]([C:19]#[N:20])([CH2:6][CH:7]=[CH2:8])[CH3:17])[C:11]2=[CH:16][CH:15]=[CH:14][CH:13]=[C:12]12)[C:2]([CH3:1])=[O:3].O=P(c1ccccc1)(c1ccccc1)c1ccccc1,True,True,balanced,
261,['golden_dataset_941'],['golden_dataset'],[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:2].[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:10].[OH2:1]>>[CH:13]1=[C:12]([CH:17]=[CH:16][CH:15]=[CH:14]1)[CH2:11][OH:10],C=1C=CC(=CC=1)C=O.C=1C=CC(=CC=1)C=O.O.[H].[H]>>C1=C(C=CC=C1)CO.O.O=Cc1ccccc1,[],[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:2].[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:10].[OH2:1]>>[CH:13]1=[C:12]([CH:17]=[CH:16][CH:15]=[CH:14]1)[CH2:11][OH:10].[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH3:3][OH:2],False,False,unbalanced,
271,['golden_dataset_971'],['golden_dataset'],[CH2:6]([SH:7])[CH2:5][C:3]([O:2][CH3:1])=[O:4].[NH4+:8].[OH-:9]>>[CH2:6]([SH:7])[CH2:5][C:3]([NH2:8])=[O:4],C(S)CC(OC)=O.[NH4+]>>CO.[H+].C(S)CC(N)=O,[],[CH2:6]([SH:7])[CH2:5][C:3]([O:2][CH3:1])=[O:4].[NH4+:8].[OH-:9]>>[CH2:6]([SH:7])[CH2:5][C:3]([NH2:8])=[O:4].[CH3:1][OH:2].[O:9],False,False,unbalanced,
272,['golden_dataset_972'],['golden_dataset'],[NH2:6][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:7][SH:8].[NH4+:9].[OH-:10]>>[NH2:6][CH:5]([CH2:7][SH:8])[C:3]([NH2:9])=[O:4],NC(C(OC)=O)CS.[NH4+]>>NC(CS)C(N)=O.CO.[H+],[],[NH2:6][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:7][SH:8].[NH4+:9].[OH-:10]>>[NH2:6][CH:5]([CH2:7][SH:8])[C:3]([NH2:9])=[O:4].[CH3:1][OH:2].[OH2:10],True,False,balanced,
273,['golden_dataset_983'],['golden_dataset'],[CH2:2]([CH3:1])[C:3]([O:5][CH3:6])=[O:4].[IH:7]>>[CH2:2]([CH3:1])[C:3](=[O:4])[OH:5],C(C)C(OC)=O.I.O>>C(C)C(=O)O.CO.I,[],[CH2:2]([CH3:1])[C:3]([O:5][CH3:6])=[O:4].[IH:7]>>[CH2:2]([CH3:1])[C:3](=[O:4])[OH:5].[CH3:6][I:7],True,False,balanced,
275,['golden_dataset_986'],['golden_dataset'],[NH2:1][CH:2]([OH:3])[CH:4]([OH:5])[CH:6]=[CH2:7].[O:9]([CH3:8])[P:10]([O:11][CH3:12])[O:13][CH3:14]>>[O:11]([CH3:12])[P:10]([O:13][CH3:14])(=[O:9])[O:3][CH:2]([CH:4]([OH:5])[CH:6]=[CH2:7])[NH2:1],[NH2:1][CH:2]([OH:3])[CH:4]([OH:5])[CH:6]=[CH2:7].[O:9]([CH3:8])[P:10]([O:11][CH3:12])[O:13][CH3:14].[O]>>[O:11]([CH3:12])[P:10]([O:13][CH3:14])(=[O:9])[O:3][CH:2]([CH:4]([OH:5])[CH:6]=[CH2:7])[NH2:1].O[CH3:14],[],[NH2:1][CH:2]([OH:3])[CH:4]([OH:5])[CH:6]=[CH2:7].[O:9]([CH3:8])[P:10]([O:11][CH3:12])[O:13][CH3:14]>>[O:11]([CH3:12])[P:10]([O:13][CH3:14])(=[O:9])[O:3][CH:2]([CH:4]([OH:5])[CH:6]=[CH2:7])[NH2:1].CO,False,False,unbalanced,
276,['golden_dataset_988'],['golden_dataset'],[CH2:6]([SH:7])[CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH2:5]1[CH2:6][S:7]1,[CH2:6]([SH:7])[CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH2:5]1[CH2:6][S:7]1.[CH3:1][C:2](=[O:3])[OH:4],[],[CH2:6]([SH:7])[CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH2:5]1[CH2:6][S:7]1.[CH3:1][C:2](=[O:3])[OH:4],True,True,balanced,
279,['golden_dataset_1001'],['golden_dataset'],[CH3:4][C:3]([O:2][CH3:1])=[O:5].[O-:8][CH2:7][CH3:6]>>[CH3:4][C:3](=[O:5])[O:8][CH2:7][CH3:6],[CH3:4][C:3]([O:2][CH3:1])=[O:5].[H+].[O-:8][CH2:7][CH3:6]>>[CH3:4][C:3](=[O:5])[O:8][CH2:7][CH3:6].[CH3:1][OH:2],[],[CH3:4][C:3]([O:2][CH3:1])=[O:5].[O-:8][CH2:7][CH3:6]>>[CH3:4][C:3](=[O:5])[O:8][CH2:7][CH3:6].[CH3:1][OH:2],False,False,unbalanced,
284,['Jaworski_8'],['Jaworski'],OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1,OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1.O.O>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1.O.O=C(O)O,[],OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1.CO2,False,False,unbalanced,
285,['golden_dataset_1021'],['golden_dataset'],[CH:9]=1[CH:8]=[CH:7][CH:6]=[C:5]([C:10]=1[C:11]=2[N:16]=[CH:15][CH:14]=[CH:13][N:12]=2)[O:4][CH2:3][C:2]#[CH:1]>>[CH:14]=1[CH:13]=[N:12][C:11]2=[C:2]([CH2:3][O:4][C:5]3=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]23)[CH:1]=1,nan,['C#CCOc1ccccc1-c1ncccn1>>c1cnc2c(c1)COc1ccccc1-2'],[CH:9]=1[CH:8]=[CH:7][CH:6]=[C:5]([C:10]=1[C:11]=2[N:16]=[CH:15][CH:14]=[CH:13][N:12]=2)[O:4][CH2:3][C:2]#[CH:1]>>[CH:14]=1[CH:13]=[N:12][C:11]2=[C:2]([CH2:3][O:4][C:5]3=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]23)[CH:1]=1.[CH:15]=1[CH:14]=[N:12][C:11]2=[C:2]([CH2:3][O:4][C:5]3=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]23)[CH:1]=1,False,False,unbalanced,
288,['golden_dataset_1028'],['golden_dataset'],[CH:13]#[C:12][C:7]=1[C:6](=[CH:11][CH:10]=[CH:9][CH:8]=1)[CH3:5].[C:15]1([CH3:14])=[CH:22][CH:21]=[C:19]([NH2:20])[C:17]([CH3:18])=[CH:16]1.[CH3:1][S:2]([CH3:3])=[O:4]>>[CH3:18][C:17]=1[C:19]=2[N:20]=[CH:3][CH:13]=[C:12]([C:7]3=[C:6]([CH:11]=[CH:10][CH:9]=[CH:8]3)[CH3:5])[C:21]=2[CH:22]=[C:15]([CH3:14])[CH:16]=1,C#CC=1C(=CC=CC=1)C.C1(C)=CC=C(N)C(C)=C1.CS(C)=O.[O].[O]>>CC=1C=2N=CC=C(C3=C(C=CC=C3)C)C=2C=C(C)C=1.C[SH]=O.O.O,[],[CH:13]#[C:12][C:7]=1[C:6](=[CH:11][CH:10]=[CH:9][CH:8]=1)[CH3:5].[C:15]1([CH3:14])=[CH:22][CH:21]=[C:19]([NH2:20])[C:17]([CH3:18])=[CH:16]1.[CH3:1][S:2]([CH3:3])=[O:4]>>[CH3:18][C:17]=1[C:19]=2[N:20]=[CH:3][CH:13]=[C:12]([C:7]3=[C:6]([CH:11]=[CH:10][CH:9]=[CH:8]3)[CH3:5])[C:21]=2[CH:22]=[C:15]([CH3:14])[CH:16]=1.CS(C)=O,False,False,unbalanced,
